AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2021/08/01,00:00,15.6,0.0,91,229,0.8
2021/08/01,01:00,15.7,0.0,90,210,1.5
2021/08/01,02:00,15.7,0.0,90,209,1.7
2021/08/01,03:00,15.3,0.0,90,209,2.3
2021/08/01,04:00,15.0,0.0,91,207,1.7
2021/08/01,05:00,15.0,0.0,93,206,2.1
2021/08/01,06:00,15.1,0.0,92,223,0.9
2021/08/01,07:00,15.1,0.0,91,206,1.9
2021/08/01,08:00,15.4,0.0,91,228,0.6
2021/08/01,09:00,15.7,0.0,89,207,1.6
2021/08/01,10:00,16.2,0.0,86,209,1.5
2021/08/01,11:00,16.4,0.0,84,177,1.3
2021/08/01,12:00,16.6,0.0,83,202,2.4
2021/08/01,13:00,16.5,0.0,83,198,2.2
2021/08/01,14:00,17.2,0.0,80,208,1.3
2021/08/01,15:00,17.1,0.0,79,202,3.2
2021/08/01,16:00,16.3,0.0,86,199,3.1
2021/08/01,17:00,16.1,0.0,86,215,1.7
2021/08/01,18:00,15.9,0.0,88,213,2.2
2021/08/01,19:00,15.8,0.0,87,209,2.0
2021/08/01,20:00,15.9,0.0,86,213,2.0
2021/08/01,21:00,16.1,0.0,87,205,2.1
2021/08/01,22:00,16.0,0.0,87,229,0.4
2021/08/01,23:00,15.8,0.0,90,221,2.2
2021/08/02,00:00,15.6,0.0,92,216,1.5
2021/08/02,01:00,15.6,0.0,93,221,1.1
2021/08/02,02:00,15.3,0.0,93,210,2.4
2021/08/02,03:00,15.1,0.0,93,211,1.9
2021/08/02,04:00,15.0,0.0,94,205,2.8
2021/08/02,05:00,15.0,0.0,94,211,0.8
2021/08/02,06:00,14.9,0.0,94,209,1.8
2021/08/02,07:00,14.9,0.1,95,199,1.4
2021/08/02,08:00,15.0,0.0,94,193,1.6
2021/08/02,09:00,15.4,0.0,92,215,1.8
2021/08/02,10:00,15.7,0.0,89,212,1.6
2021/08/02,11:00,15.9,0.0,85,218,1.6
2021/08/02,12:00,17.7,0.0,78,235,1.1
2021/08/02,13:00,19.6,0.0,71,202,3.2
2021/08/02,14:00,18.6,0.0,73,197,3.3
2021/08/02,15:00,17.9,0.0,78,203,3.6
2021/08/02,16:00,17.5,0.0,79,209,3.6
2021/08/02,17:00,16.5,0.0,84,213,2.9
2021/08/02,18:00,16.0,0.0,87,216,2.5
2021/08/02,19:00,16.1,0.0,88,210,2.6
2021/08/02,20:00,16.4,0.0,87,218,1.7
2021/08/02,21:00,15.7,0.0,89,212,2.9
2021/08/02,22:00,15.8,0.0,90,211,2.2
2021/08/02,23:00,15.7,0.0,90,216,2.3
2021/08/03,00:00,15.7,0.0,89,211,2.2
2021/08/03,01:00,15.7,0.0,88,227,2.4
2021/08/03,02:00,15.5,0.0,89,227,1.7
2021/08/03,03:00,15.5,0.0,89,221,1.6
2021/08/03,04:00,15.7,0.0,88,210,2.4
2021/08/03,05:00,15.5,0.0,88,227,1.2
2021/08/03,06:00,15.4,0.0,88,217,1.6
2021/08/03,07:00,15.3,0.0,88,204,2.6
2021/08/03,08:00,15.5,0.0,89,230,0.9
2021/08/03,09:00,15.7,0.0,86,203,2.2
2021/08/03,10:00,16.1,0.0,85,202,2.4
2021/08/03,11:00,16.3,0.0,83,184,1.9
2021/08/03,12:00,16.7,0.0,83,186,2.1
2021/08/03,13:00,17.3,0.0,79,175,2.4
2021/08/03,14:00,17.4,0.0,78,199,2.4
2021/08/03,15:00,17.2,0.0,82,200,3.1
2021/08/03,16:00,16.8,0.0,85,214,2.7
2021/08/03,17:00,16.3,0.0,86,219,1.6
2021/08/03,18:00,16.0,0.0,88,213,1.7
2021/08/03,19:00,16.0,0.0,90,215,2.3
2021/08/03,20:00,16.0,0.0,90,206,2.5
2021/08/03,21:00,16.2,0.0,89,207,2.1
2021/08/03,22:00,15.9,0.0,88,211,1.7
2021/08/03,23:00,15.8,0.0,88,204,2.0
2021/08/04,00:00,15.9,0.0,89,203,2.5
2021/08/04,01:00,15.6,0.0,89,210,2.7
2021/08/04,02:00,15.6,0.0,90,206,2.2
2021/08/04,03:00,15.5,0.0,91,204,1.5
2021/08/04,04:00,15.3,0.0,92,197,1.5
2021/08/04,05:00,15.0,0.0,93,196,1.4
2021/08/04,06:00,14.9,0.1,94,183,0.9
2021/08/04,07:00,15.1,0.0,94,195,0.8
2021/08/04,08:00,15.0,0.0,94,192,1.1
2021/08/04,09:00,15.1,0.1,94,198,1.9
2021/08/04,10:00,15.5,0.0,92,280,1.1
2021/08/04,11:00,16.2,0.0,88,272,1.3
2021/08/04,12:00,17.1,0.0,82,279,1.3
2021/08/04,13:00,17.4,0.0,79,266,2.0
2021/08/04,14:00,17.9,0.0,75,253,1.9
2021/08/04,15:00,18.2,0.0,75,254,1.3
2021/08/04,16:00,16.8,0.0,84,203,2.3
2021/08/04,17:00,16.4,0.0,87,202,2.1
2021/08/04,18:00,16.2,0.0,88,196,1.7
2021/08/04,19:00,16.3,0.0,88,238,0.8
2021/08/04,20:00,16.2,0.0,88,211,1.8
2021/08/04,21:00,15.9,0.0,89,212,2.0
2021/08/04,22:00,15.8,0.0,91,208,2.6
2021/08/04,23:00,15.5,0.0,93,208,2.7
2021/08/05,00:00,15.5,0.0,93,228,1.0
2021/08/05,01:00,15.4,0.0,94,215,2.7
2021/08/05,02:00,15.3,0.1,94,218,2.3
2021/08/05,03:00,15.3,0.0,95,212,2.7
2021/08/05,04:00,15.3,0.0,94,216,1.7
2021/08/05,05:00,15.3,0.1,94,218,2.1
2021/08/05,06:00,15.3,0.0,94,229,1.0
2021/08/05,07:00,15.6,0.0,93,229,1.1
2021/08/05,08:00,15.9,0.0,92,239,1.2
2021/08/05,09:00,17.0,0.0,84,224,2.2
2021/08/05,10:00,18.1,0.0,82,216,3.1
2021/08/05,11:00,17.8,0.0,80,212,3.9
2021/08/05,12:00,18.1,0.0,77,212,3.9
